Agency,Account,State,Recipent,Project,Amount,Requested by,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,Cuyahoga County ,Sewer Improvement Project,"$1,250,000.00 ",Miller (OH),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,City of Parma ,Sewer Improvements,"$1,000,000.00 ",Miller (OH),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WV,Town of West Hamlin ,Water Treatment Plant Upgrades,"$1,000,000.00 ",Miller (WV),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WV,Buffalo Creek Public Service District ,Water Treatment Plant Upgrade and Expansion,"$1,000,000.00 ",Miller (WV),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WV,City of Welch ,Combined Sewer Overflow Removal Project,"$750,000.00 ",Miller (WV),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WV,Boone County Public Service District ,Water Improvement Project,"$750,000.00 ",Miller (WV),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WV,City of Lewisburg ,Water Main Replacements,"$750,000.00 ",Miller (WV),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WV,Region 2 Planning and Development Council ,Water Treatment Plant,"$750,000.00 ",Miller (WV),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WV,North Beckley Public Service District ,Wastewater Treatment Plant Improvements,"$750,000.00 ",Miller (WV),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WV,Webster County ,Water Line Extension,"$750,000.00 ",Miller (WV),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IA,City of Knoxville ,Sanitary and Storm Sewer Project,"$750,000.00 ",Miller-Meeks,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IA,City of Muscatine ,force Main Project,"$2,000,000.00 ",Miller-Meeks,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Seminole County ,Septic-to-Sewer Project,"$1,250,000.00 ",Mills,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Oviedo ,the Restoration of Sweetwater Creek,"$1,280,000.00 ",Mills,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,FL,City of Winter Springs ,Mt. Greenwood Water Main Replacement,"$1,000,000.00 ",Mills,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Winter Springs ,Winter Springs Village Reclaimed Water Main Extension,"$640,000.00 ",Mills,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,FL,City of Lake Helen ,Watermains Replacement Project,"$750,000.00 ",Mills,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of Seal Beach ,San Gabriel River Water Quality Improvement Project,"$1,000,000.00 ",Min,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of Seal Beach ,Stormwater Infrastructure Project,"$1,092,000.00 ",Min,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,The Charter Township of Caledonia ,Water Trunkline Water System Project,"$2,000,000.00 ",Moolenaar,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,Lake Mitchell Sewer Authority ,Sewer Pump Improvement Project,"$1,500,000.00 ",Moolenaar,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,City of Cadillac ,Water Distribution Project,"$1,460,000.00 ",Moolenaar,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,City of Lowell ,Water Treatment Plant Expansion Project,"$1,250,000.00 ",Moolenaar,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,AL,City of Samson ,Well Construction,"$1,840,000.00 ",Moore (AL),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,AL,City of Loxley ,Water System Improvement Project,"$750,000.00 ",Moore (AL),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NC,City of Gastonia ,Regional Sewer Project,"$2,000,000.00 ",Moore (NC),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NC,Town of Dallas ,High Shoals/Dallas Water Interconnect Project,"$1,250,000.00 ",Moore (NC),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NC,City of Gastonia ,Sewer Pump Station Project Phase I,"$825,000.00 ",Moore (NC),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,UT,City of Clinton ,Sewer Improvements and Expansion,"$2,750,000.00 ",Moore (UT),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,UT,Bear River Water Conservancy District ,Water Infrastructure Improvement Project,"$2,000,000.00 ",Moore (UT),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,UT,Weber Basin Water Conservancy District ,Water Distribution Improvement Project,"$1,160,692.00 ",Moore (UT),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,UT,City of Logan ,Water Reclamation Facility Project,"$1,750,000.00 ",Moore (UT),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WV,Clarksburg  Water  Board  , Lead  Line  Replacement  and  Water  Distribution  System  Im- provements,"$2,250,000.00 ",Moore (WV),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WV,Tucker County Commission ,Regional Sewer System Project,"$1,500,000.00 ",Moore (WV),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WV,City of Weston ,Sewer Extension and Improvement Project,"$1,500,000.00 ",Moore (WV),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WV,City of Pennsboro ,Waterline Extension Project,"$1,000,000.00 ",Moore (WV),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Monroe County ,Northwest Quadrant Water Resource Recovery Facility,"$1,092,000.00 ",Morelle,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Town of Victor ,County Road 9 force Main Replacement,"$1,002,944.00 ",Morelle,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Village of Brockport ,Sanitary Sewer System Upgrade,"$1,092,000.00 ",Morelle,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Monroe  County  Water  Authority  , System-wide  Cybersecurity  Modernization  and  Resil- iency,"$1,092,000.00 ",Morelle,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Bloomington ,Booster Station Pump Replacement,"$1,092,000.00 ",Morrison,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Minnetrista ,Manganese Mitigation Project,"$1,092,000.00 ",Morrison,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Mound ,Water Treatment Plant Manganese Removal Project,"$1,092,000.00 ",Morrison,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Deerfield Beach ,Martin Luther King Jr. Avenue Stormwater Project,"$1,092,000.00 ",Moskowitz,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,FL,City of Coral Springs ,Water Treatment Plant Upgrade,"$1,092,000.00 ",Moskowitz,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,City of Gloucester ,Pump Station Upgrades,"$1,092,000.00 ",Moulton,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,Town of Marblehead ,Sewer Infiltration and Inflow Reduction,"$807,000.00 ",Moulton,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,Town of Merrimac ,Wastewater Treatment Plant Upgrades,"$1,092,000.00 ",Moulton,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,Town of Nahant ,Wastewater Infrastructure Upgrades,"$1,092,000.00 ",Moulton,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,City of Newburyport ,PFAS Water Filtration System,"$1,092,000.00 ",Moulton,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,Town of Essex ,Drinking Water System Improvements,"$1,092,000.00 ",Moulton,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,Town of Hamilton ,Hamilton-Wenham Regional Drinking Water Connection,"$1,092,000.00 ",Moulton,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,Town of Ipswich ,Drinking Water Infrastructure Upgrades,"$1,092,000.00 ",Moulton,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,Town of Middleton ,PFAS Mitigation Project,"$1,092,000.00 ",Moulton,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,Town of Topsfield ,Water Main Replacement,"$1,092,000.00 ",Moulton,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of Daly City ,Vista Grande Drainage Basin Improvement Project,"$1,092,000.00 ",Mullin,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,City of Chicopee ,Wastewater Treatment Plant Nitrogen Reduction Project,"$1,092,000.00 ",Neal,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,City of Holyoke ,River Terrace CSO Area 21B Sewer Separation,"$800,000.00 ",Neal,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,Town of Bland Ford,Water Treatment & Distribution System Upgrades,"$1,092,000.00 ",Neal,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,West Brookfield Water Department ,Leland Road Water Treatment Project,"$1,092,000.00 ",Neal,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CO,Town of Granby ,Water Infrastructure Project,"$1,092,000.00 ",Neguse,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WA,City of Othello ,Regional Water Supply Project,"$1,000,000.00 ",Newhouse,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WA,Town of Winthrop ,Water Source and Distribution System Improvements,"$1,500,000.00 ",Newhouse,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WA,City of Oroville ,Water System Improvement Project,"$1,400,000.00 ",Newhouse,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Township of Voorhees ,Las Brisas Sewer Project,"$1,092,000.00 ",Norcross,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NJ,Town of Maple Shade ,Water Treatment Plant Replacement,"$1,092,000.00 ",Norcross,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NJ,Township of Winslow ,W. Factory Rd Water Storage Tank Rehabilitation,"$880,000.00 ",Norcross,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of Adelanto ,Wastewater Treatment Plant Improvements,"$1,000,000.00 ",Obernolte,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of California City,Water System Replacement Project Phase II,"$1,000,000.00 ",Obernolte,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of Loma Linda ,SCADA System Reliability Project,"$750,000.00 ",Obernolte,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,Hi-Desert Water District ,Water Reuse Projects,"$750,000.00 ",Obernolte,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,San Bernardino County ,Septic-to-Sewer Project,"$750,000.00 ",Obernolte,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MD,Town of New Windsor ,Sewer System Improvements,"$500,000.00 ",Olszewski,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MD,City of Westminster ,Advanced Water Purification System Project,"$1,092,000.00 ",Olszewski,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of New Hope ,Sanitary Sewer Lining Project,"$1,092,000.00 ",Omar,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Spring Lake Park ,Stormwater Resiliency Project,"$896,000.00 ",Omar,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Richfield ,Emergency Water Interconnect Project,"$1,092,000.00 ",Omar,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,UT,Granger-Hunter Improvement District ,Water Main Replacement Project,"$1,000,000.00 ",Owens,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,UT,City of Riverton ,Waterline Replacement Project,"$750,000.00 ",Owens,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,UT,Murray City Corporation ,Drinking Water Well,"$750,000.00 ",Owens,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,UT,City of Bluffdale ,Storage Tank Construction,"$750,000.00 ",Owens,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,City of Asbury Park ,Wastewater Treatment Plant Screenings Project,"$1,092,000.00 ",Pallone,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,City of Perth Amboy ,Runyon Water Treatment Plant Improvements,"$1,092,000.00 ",Pallone,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NJ,Borough of Matawan ,Lead Pipes Removal,"$1,000,000.00 ",Pallone,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NJ,Borough of Red Bank ,Lead Service Line Replacement Program,"$1,000,000.00 ",Pallone,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NH,City of Manchester ,MS4 Drainage Improvements,"$1,092,000.00 ",Pappas,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NH,City of Rochester ,Wastewater Lagoon Desludge,"$1,092,000.00 ",Pappas,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NH,Town of Newmarket ,Sewer Reliability Improvements Project,"$1,092,000.00 ",Pappas,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WA,City of Vancouver ,Wastewater Lagoon Aeration Blower Upgrade,"$1,092,000.00 ",Gluesenkamp Perez,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WA,Clark Regional Wastewater District ,Wallace Heights Septic Elimination Project,"$1,092,000.00 ",Gluesenkamp Perez,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WA,City of Longview ,Fill Line to Water Reservoir Project,"$1,092,000.00 ",Gluesenkamp Perez,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WA,City of Ridgefield ,Kennedy Well Project,"$1,092,000.00 ",Gluesenkamp Perez,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of Coronado ,Stormwater Mitigation Project,"$1,092,000.00 ",Peters,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of San Diego ,Famosa Slough Alley Slope Restoration Project,"$1,092,000.00 ",Peters,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of San Diego ,Pump Station Component D Upgrade,"$1,092,000.00 ",Peters,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CO,City of Arvada ,North Trunk Wastewater Infrastructure Improvements,"$1,092,000.00 ",Pettersen,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CO,Teller County ,Wastewater Expansion Project,"$1,092,000.00 ",Pettersen,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CO,Town of Alma ,Wastewater Treatment Plant Improvements,"$1,092,000.00 ",Pettersen,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of Eden ,Pump Station Replacement,"$300,000.00 ",Pfluger,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,ME,Clinton Water District ,Railroad and Church Streets Utility Upgrades,"$1,093,276.00 ",Pingree,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,ME,North Berwick Sanitary District ,Wastewater Treatment Facility and Pumping Stations Reliability Upgrades,"$1,093,276.00 ",Pingree,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,ME,South  Berwick  Sewer  District  , Wastewater  Treatment  Facility  Resiliency,"$1,093,276.00 ",Pingree,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,ME,Town of North Haven ,Wastewater Treatment Upgrades,"$1,093,276.00 ",Pingree,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,ME,Town of Windham ,Regional School Unit 14 Campus Wastewater Conveyance Project,"$1,000,000.00 ",Pingree,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WI,City of Mineral Point ,Lead Service Line Replacement,"$1,000,000.00 ",Pocan,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Borough of Cliffside Park ,Stormwater System Improvement Project,"$1,092,000.00 ",Pou,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Borough of Edgewater ,Stormwater Infrastructure Improvements Project,"$1,092,000.00 ",Pou,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Borough of Hawthorne ,Wastewater Management Project,"$1,092,000.00 ",Pou,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,City of Cambridge ,Water Ozone Generators Replacement Project,"$1,092,000.00 ",Pressley,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,Town of Randolph ,Water Standpipe Replacement,"$1,092,000.00 ",Pressley,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,Chicago Department of Transportation ,Graceland West Green Alleys,"$1,092,000.00 ",Quigley,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,Village of Barrington ,Wastewater Treatment Plant Upgrade Project,"$1,092,000.00 ",Quigley,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of Arlington Heights ,Lead Service Line Replacement Project,"$1,092,000.00 ",Quigley,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,DuPage County ,3rd Avenue Storm Water Management Project,"$1,092,000.00 ",Ramirez,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WA,Kitsap County ,Wastewater Treatment Plant Upgrade,"$1,092,000.00 ",Randall,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MD,City of Rockville ,Orangeburg Lateral Replacement Project,"$1,092,000.00 ",Raskin,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MD,City of Rockville ,Wastewater Collection System Rehabilitation,"$1,092,000.00 ",Raskin,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MD,Washington  Suburban  Sanitary  Commission  , Sewer  Rehabilitation  in  Montgomery County Project,"$1,092,000.00 ",Raskin,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MD,City of Rockville ,Lead Service Line Inventory Investigation,"$500,000.00 ",Raskin,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,PA,Municipal Authority of Westmoreland County ,Transmission Line Replacement,"$2,250,000.00 ",Reschenthaler,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,PA,Ohiopyle Borough ,Sewage Treatment Plant Expansion,"$937,000.00 ",Reschenthaler,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,PA,North Fayette County Municipal Authority ,Water Main Replacement Project,"$1,750,000.00 ",Reschenthaler,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,PA,Greene County ,Water Line Expansion,"$2,250,000.00 ",Reschenthaler,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Village of Bloomingburg ,Wastewater Treatment Plant & Pump Station Upgrades,"$1,092,000.00 ",Riley,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,AL,City of Pell City ,Wastewater Treatment Plant Project,"$1,000,000.00 ",Rogers (AL),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,AL,Coosa Valley Water Supply District ,Water Supply Expansion,"$1,000,000.00 ",Rogers (AL),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,AL,City of Attalla ,Sanitary Sewer Improvement Project,"$750,000.00 ",Rogers (AL),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,AL,City of Auburn ,Sewer Expansion Project,"$750,000.00 ",Rogers (AL),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NC,City of Raleigh ,Rocky Branch Tributary Enhancement Project,"$1,092,000.00 ",Ross,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NC,Town of Cary ,Walnut Creek Stabilization and Restoration Project,"$1,092,000.00 ",Ross,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NC,Town of White Lake ,Sewer Improvements,"$2,000,000.00 ",Rouzer,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NC,Columbus County ,Water System Improvements,"$2,000,000.00 ",Rouzer,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NC,Brunswick County Public Utilities ,Water Line Extension,"$1,000,000.00 ",Rouzer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NC,Lower Cape Fear Water and Sewer Authority ,Raw Water Pump Station,"$750,000.00 ",Rouzer,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NC,Cape Fear Public Utility Authority ,Raw Water Transmission Main Extension,"$750,000.00 ",Rouzer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,Coachella Valley Water District ,North Cathedral City Regional Stormwater Project,"$1,092,000.00 ",Ruiz,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,Village of Wellsville ,Storage Tank Replacement,"$750,000.00 ",Rulli,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,City of Struthers ,Water Infrastructure Facility Upgrades,"$800,000.00 ",Rulli,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,City of Dover ,Sanitary Sewer Upgrades,"$600,000.00 ",Rulli,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,Village of Scio ,Waterline Replacement Project,"$500,000.00 ",Rulli,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of St. Augustine Beach ,Stormwater System and Outfall Resiliency Project,"$800,000.00 ",Rutherford,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Town of Cornwall ,Shore Road Sewer Treatment Plant,"$1,092,000.00 ",Ryan,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Town of New Paltz ,Ohioville Sewer District #6 Sewer Treatment Plant Regionalization,"$1,092,000.00 ",Ryan,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,City of Middletown ,Raw Water Line Replacement,"$1,092,000.00 ",Ryan,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Village of Kiryas Joel ,Water Treatment Facility Construction Project,"$1,092,000.00 ",Ryan,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Village of Pinecrest ,Storm Drainage Improvements,"$750,000.00 ",Salazar,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Village of Key Biscayne ,Stormwater System Upgrade,"$2,000,000.00 ",Salazar,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Town of Cutler Bay ,Drainage System Improvements,"$1,000,000.00 ",Salazar,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of South Miami ,Septic-to-Sewer Project,"$1,000,000.00 ",Salazar,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OR,City of Dallas ,LaCreole Node Sewer Project,"$1,000,000.00 ",Salinas,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OR,City of Newberg ,Newberg Water Plant Covering Project,"$750,000.00 ",Salinas,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of La Habra ,Foothill Zone Consolidation Water Project,"$1,092,000.00 ",Sanchez,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,Village of Algonquin ,Sanitary Sewer Improvement Project,"$1,092,000.00 ",Schakowsky,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,Village of Buffalo Grove ,Mill Creek Subdivision Utility Resiliency Project,"$1,092,000.00 ",Schakowsky,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,Village of Skokie ,Storm Water Infrastructure Enhancement Project,"$1,092,000.00 ",Schakowsky,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Lake County Public Works ,Water System Improvements,"$1,092,000.00 ",Schakowsky,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of Cary ,Water System Resiliency and PFAS Mitigation Improvements Project,"$1,092,000.00 ",Schakowsky,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of Morton Grove ,Lead Service Line Replacement Project,"$1,092,000.00 ",Schakowsky,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,KS,Leavenworth Waterworks ,Water Treatment Plant Project,"$1,250,000.00 ",Schmidt,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,KS,City of Caney ,Water Distribution System Improvements,"$1,500,000.00 ",Schmidt,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,Lake County Public Works ,Antioch Township Sanitary Sewer Improvements,"$1,092,000.00 ",Schneider,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,Village of Fox Lake ,Northwest Regional Water Reclamation Facility Upgrades,"$1,092,000.00 ",Schneider,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,Village of Spring Grove ,Wastewater Treatment Plant Construction,"$1,092,000.00 ",Schneider,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,Village of Vernon Hills ,Sediment Pollution Control Project,"$1,092,000.00 ",Schneider,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,City of Highland Park ,George B Prindle Water Treatment Plant Intake Improvements,"$1,092,000.00 ",Schneider,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,City of North Chicago ,Lead Service Line Replacements,"$1,092,000.00 ",Schneider,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of Wilmette ,Lead Service Line Replacement Project,"$1,092,000.00 ",Schneider,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,City of Grand Haven ,Harbor Island Drinking Water Treatment Remediation,"$1,092,000.00 ",Scholten,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,City  of  Grand  Rapids  , Water  Resource  Recovery  Facility  UV  Disinfection  Upgrade Project,"$1,092,000.00 ",Scholten,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WA,Town of Carbonado ,Wastewater Treatment Plant Relocation Project,"$1,092,000.00 ",Schrier,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WA,Covington Water District ,Reservoir Construction Project,"$1,092,000.00 ",Schrier,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,GA,City of Oxford,Water Main Replacement Project,"$1,092,000.00 ",Scott (GA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,GA,Gwinnett County ,Walton Court Booster Station Project,"$1,092,000.00 ",Scott (GA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,GA,Newton County ,Transmission Main Replacement Project,"$1,092,000.00 ",Scott (GA),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of Waco ,Flat Creek Water Reuse Project,"$1,000,000.00 ",Sessions,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of Nacogdoches ,Storm Drainage Improvements,"$1,000,000.00 ",Sessions,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,City of Woodway ,Drinking Water System Upgrades,"$750,000.00 ",Sessions,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of Huntsville ,Wastewater Treatment Plant Upgrades,"$750,000.00 ",Sessions,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,City of Pflugerville ,Pump Station and Storage Tank Project,"$750,000.00 ",Sessions,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Town of Millburn ,Gilbert Place Stormwater Pump Station,"$1,092,000.00 ",Sherrill,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Township of Little Falls ,Peckman Riverbank Stabilization Project,"$1,092,000.00 ",Sherrill,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Township of Pequannock ,Pump Station Project,"$1,092,000.00 ",Sherrill,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NJ,Township of Montville ,PFAS Treatment Implementation Project,"$1,092,000.00 ",Sherrill,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NJ,Town of Dover ,Lead Service Line Replacements,"$1,092,000.00 ",Sherrill,
