Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Housing and Urban Development,Economic Development Initiatives,OH,Montgomery County,Wildenhaus Place,"$1,000,000.00 ",Turner,
Department of Housing and Urban Development,Economic Development Initiatives,OH,Wright State University,"Facilities expansion, upgrades, and improvements","$1,000,000.00 ",Turner,
Department of Housing and Urban Development,Economic Development Initiatives,OH,City of Dayton,Wright-Dunbar Development Project,"$2,000,000.00 ",Turner,
Department of Housing and Urban Development,Economic Development Initiatives,OH,City of Dayton,Edwin C. Moses Boulevard Revitalization Project,"$3,000,000.00 ",Turner,
Department of Housing and Urban Development,Economic Development Initiatives,OK,City of Edmond,East  Edmond  Electric  Substation  Expansions  for  Critical  Infrastructure,"$4,000,000.00 ",Bice,
Department of Housing and Urban Development,Economic Development Initiatives,OK,Oklahoma City Redevelopment Authority,Facility and Lab Construction,"$7,000,000.00 ",Bice,
Department of Housing and Urban Development,Economic Development Initiatives,OK,City of Lindsay,City of Lindsay’s New Electrical Substation,"$3,957,000.00 ",Cole,
Department of Housing and Urban Development,Economic Development Initiatives,OK,Walters Public Works Authority,Walters Substation Rebuild and Capacity Enhancement Project,"$4,340,000.00 ",Cole,
Department of Housing and Urban Development,Economic Development Initiatives,OK,City of Lawton,Lawton Alternate Water Supply,"$5,000,000.00 ",Cole,
Department of Housing and Urban Development,Economic Development Initiatives,OK,City of Pauls Valley,Pauls Valley Lake Emergency Overflow Spillway Project,"$6,286,000.00 ",Cole,
Department of Housing and Urban Development,Economic Development Initiatives,OK,Town of Goldsby,Goldsby Municipal Water Improvements,"$7,000,000.00 ",Cole,
Department of Housing and Urban Development,Economic Development Initiatives,OK,City of Ardmore,Ardmore Storm Water and Street Improvements,"$7,500,000.00 ",Cole,
Department of Housing and Urban Development,Economic Development Initiatives,OK,Chickasaw Nation of Oklahoma,Chickasaw  Nation  Water  Quality  and  Hazardous  Substance  Testing Center,"$8,438,000.00 ",Cole,
Department of Housing and Urban Development,Economic Development Initiatives,OK,Fires Innovation Science and Technology Accelerator,Fires Innovation Science and Technology Accelerator’s Science and Technology Convergence Institute,"$11,500,000.00 ",Cole,
Department of Housing and Urban Development,Economic Development Initiatives,OK,City of Newcastle,Newcastle Wastewater Treatment Facility,"$12,000,000.00 ",Cole,
Department of Housing and Urban Development,Economic Development Initiatives,OK,City of Kingfisher,Kingfisher Firehouse,"$2,500,000.00 ",Lucas,
Department of Housing and Urban Development,Economic Development Initiatives,OK,City of Weatherford,Weatherford Community Center,"$5,000,000.00 ",Lucas,
Department of Housing and Urban Development,Economic Development Initiatives,OK,Oklahoma State University,Facility Construction and Improvements,"$5,000,000.00 ",Lucas,
Department of Housing and Urban Development,Economic Development Initiatives,OR,Tualatin Hills Park and Recreation District,Americans with Disabilities Act Facility Upgrades,"$250,000.00 ",Bonamici,
Department of Housing and Urban Development,Economic Development Initiatives,OR,City of Cornelius,Cornelius Community and Recreation Center,"$850,000.00 ",Bonamici,
Department of Housing and Urban Development,Economic Development Initiatives,OR,City of St. Helens,St. Helens Reservoir Replacement Project,"$1,000,000.00 ",Bonamici,
Department of Housing and Urban Development,Economic Development Initiatives,OR,City of Beaverton,Beaverton  Senior  Housing  and  Community  Space  Construction Project,"$3,150,000.00 ",Bonamici,
Department of Housing and Urban Development,Economic Development Initiatives,OR,City of Redmond,Cinder Hollow Affordable Housing Development and Construction,"$500,000.00 ",Bynum,
Department of Housing and Urban Development,Economic Development Initiatives,OR,City of Happy Valley,Happy Valley Community Center,"$1,200,000.00 ",Bynum,
Department of Housing and Urban Development,Economic Development Initiatives,OR,City of Gladstone,Gladstone Early Childhood Center Development and Construction,"$1,500,000.00 ",Bynum,
Department of Housing and Urban Development,Economic Development Initiatives,OR,Centennial School District,Centennial Transition Center Permanent Location,"$500,000.00 ",Dexter,
Department of Housing and Urban Development,Economic Development Initiatives,OR,City of Gresham,Main City Park Revitalization Project,"$850,000.00 ",Dexter,
Department of Housing and Urban Development,Economic Development Initiatives,OR,Home Forward,"Peaceful Villa Housing Construction, Equipment and Furnishings","$1,975,000.00 ",Dexter,
Department of Housing and Urban Development,Economic Development Initiatives,OR,City of Portland,The Ellington Apartments Redevelopment,"$2,000,000.00 ",Dexter,
Department of Housing and Urban Development,Economic Development Initiatives,OR,City of Florence,Siuslaw River Slope Stabilization Project,"$250,000.00 ",Hoyle,
Department of Housing and Urban Development,Economic Development Initiatives,OR,City of Lincoln City,Fernwood Village Housing Development and Construction,"$2,000,000.00 ",Hoyle,
Department of Housing and Urban Development,Economic Development Initiatives,OR,Umpqua Community College,Affordable Housing for Rural Workforce Training Students project,"$3,150,000.00 ",Hoyle,
Department of Housing and Urban Development,Economic Development Initiatives,OR,Western Oregon University,Western Oregon University Data Center,"$250,000.00 ",Salinas,
Department of Housing and Urban Development,Economic Development Initiatives,OR,City of Woodburn,Woodburn’s Historic Settlemier Park Improvements,"$250,000.00 ",Salinas,
Department of Housing and Urban Development,Economic Development Initiatives,OR,City of Salme,Emergency Power Generation for Low-Income Senior Housing,"$500,000.00 ",Salinas,
Department of Housing and Urban Development,Economic Development Initiatives,OR,Sheridan School District 48J,Barbara Roberts Career Technical Education Center,"$850,000.00 ",Salinas,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Philadelphia City Treasurer—Department of Parks and Recreation,Pleasant Hill Park Community Center Development and Construction,"$250,000.00 ",Boyle,
Department of Housing and Urban Development,Economic Development Initiatives,PA,City of Philadelphia—Department of Parks and Recreation,Pennypack  on  the  Delaware  Ranger  Building  Development  and Construction,"$250,000.00 ",Boyle,
Department of Housing and Urban Development,Economic Development Initiatives,PA,City of Philadelphia’s Managing Director’s Office,Demolition and Redevelopment of Holmesburg Prison Site,"$250,000.00 ",Boyle,
Department of Housing and Urban Development,Economic Development Initiatives,PA,City of Philadelphia’s Department of Fleet Services,Shop 134 EV Charging Equipment Acquisition,"$250,000.00 ",Boyle,
Department of Housing and Urban Development,Economic Development Initiatives,PA,City of Philadelphia Office of Transportation and Infrastructure Systems,Lehigh Avenue Traffic Safety Improvements,"$850,000.00 ",Boyle,
Department of Housing and Urban Development,Economic Development Initiatives,PA,City of Philadelphia Office of Transportation and Infrastructure Systems,Castor Avenue Safety and Streetscape Improvements,"$850,000.00 ",Boyle,
Department of Housing and Urban Development,Economic Development Initiatives,PA,"City of Philadelphia, Managing Director’s Office",McPherson Library Renovations,"$850,000.00 ",Boyle,
Department of Housing and Urban Development,Economic Development Initiatives,PA,City of Philadelphia Office of Transportation and Infrastructure Systems,Market Street Headhouses Replacements,"$1,200,000.00 ",Boyle,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Center City District,Viaduct Greenway Development and Revitalization,"$2,000,000.00 ",Boyle,
Department of Housing and Urban Development,Economic Development Initiatives,PA,"Philadelphia Water Department, City of Philadelphia, PA",PWD Kensington Lead Service Line Replacement,"$2,000,000.00 ",Boyle,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Lackawanna County,Veterans Permanent Supportive Housing,"$1,500,000.00 ",Bresnahan,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Pike County,Wayne & Pike County Career and Technical Center,"$3,000,000.00 ",Bresnahan,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Kutztown University of Pennsylvania,Sharadin Farmstead Restoration,"$250,000.00 ",Dean,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Upper Moreland Township School District,Living  Science  Laboratory  for  Agriculture  and  Workforce  Development Facility Development & Construction,"$250,000.00 ",Dean,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Cheltenham Township,Rowland Community Center Revitalization,"$500,000.00 ",Dean,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Montgomery County Housing Authority,The  Montgomery  County  Housing  Authority  (MCHA)’s  Affordable Housing Preservation,"$500,000.00 ",Dean,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Borough of Collegeville,Collegeville Main St & 9th Avenue Transportation Safety & Revitalization Improvements,"$750,000.00 ",Dean,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Lower Providence Township,Public Facility Rebuild,"$750,000.00 ",Dean,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Redevelopment Authority of the County of Montgomery,Pottstown Anti-Poverty and Workforce Development Initiative: TRec District Phase 1 Completion Project,"$800,000.00 ",Dean,
Department of Housing and Urban Development,Economic Development Initiatives,PA,The Borough of Sewickley,The Sewickley Road Safety Improvement Plan,"$250,000.00 ",Deluzio,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Ben Avon Borough,Ben Avon Rooftop Solar Panels,"$250,000.00 ",Deluzio,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Churchill Borough,Churchill Borough Community Park Development and Construction,"$500,000.00 ",Deluzio,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Allegheny County,Panhandle Trail Extension Acquisition,"$850,000.00 ",Deluzio,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Mt. Lebanon,Mt. Lebanon Community Recreation Center Accessibility Upgrades and Facility Expansion,"$850,000.00 ",Deluzio,
Department of Housing and Urban Development,Economic Development Initiatives,PA,The School District of Philadelphia,Anna Blakiston Day School’s Schoolyard Improvements and Equipment Upgrades,"$717,593.00 ",Evans (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,The School District of Philadelphia,James G. Blaine School’s Schoolyard Improvements,"$850,000.00 ",Evans (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,The School District of Philadelphia,"Richard  R.  Wright  Elementary  School’s  Schoolyard  Improvements, Infrastructure Upgrades, and Equipment","$850,000.00 ",Evans (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,City of Philadelphia,City of Philadelphia—Demolition of Former Holmesburg Prison,"$850,000.00 ",Evans (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,Community College of Philadelphia,Community  College  of  Philadelphia  Housing  Development  and Renovations,"$850,000.00 ",Evans (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,Temple University,Temple University’s Community Kitchen,"$1,500,000.00 ",Evans (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,Quakertown Borough,Streetscape Improvements,"$1,000,000.00 ",Fitzpatrick,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Bristol Township,HELP Center Construction,"$1,250,000.00 ",Fitzpatrick,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Bristol Borough,Bristol Borough Consolidated Fire Station,"$2,000,000.00 ",Fitzpatrick,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Bucks County,Boone Farm Community Center,"$2,000,000.00 ",Fitzpatrick,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Bristol Township,Homeless Shelter Renovation and Expansion,"$2,000,000.00 ",Fitzpatrick,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Middletown Township,Public Works Complex Reconstruction,"$2,000,000.00 ",Fitzpatrick,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Bensalem Township,Fire Station Construction,"$4,000,000.00 ",Fitzpatrick,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Bristol Township,Edgely Bridge Project,"$5,000,000.00 ",Fitzpatrick,
Department of Housing and Urban Development,Economic Development Initiatives,PA,"Goshen Fire Company, West Chester PA","Goshen  Fire  Company/EMS  Station  Demolition,  Development  and Construction","$850,000.00 ",Houlahan,
Department of Housing and Urban Development,Economic Development Initiatives,PA,City of Reading,11th and Pike Recreation Center Expansion,"$850,000.00 ",Houlahan,
Department of Housing and Urban Development,Economic Development Initiatives,PA,West Grove Borough,West Grove Memorial Park Expansion,"$850,000.00 ",Houlahan,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Reading Area Community College,Schmidt Training and Technology Center Expansion for Workforce Development,"$2,000,000.00 ",Houlahan,
Department of Housing and Urban Development,Economic Development Initiatives,PA,University of Pittsburgh,Pitt-Johnstown Future Ready,"$1,000,000.00 ",Joyce (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,Bedford Borough,Fort Bedford Park Improvements,"$1,250,000.00 ",Joyce (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,Borough of Alexandria,Alexandria Borough Revitalization Project,"$1,500,000.00 ",Joyce (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,City of Johnstown,Johnstown Public Safety Center,"$2,850,000.00 ",Joyce (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,Western Pennsylvania Port Authority,Erie Coke Demolition Project,"$2,000,000.00 ",Kelly (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,County of Erie,Erie County Industrial Park,"$3,000,000.00 ",Kelly (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,City of Pittsburgh,City  of  Pittsburgh—Recreating  Community  at  Thaddeus  Stevens Center,"$250,000.00 ",Lee (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,Board of Public Education of the School District of Pittsburgh,Greenfield Elementary School Community Schoolyard,"$400,000.00 ",Lee (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,West Mifflin Borough,West Mifflin Borough—Community & Recreation Center,"$850,000.00 ",Lee (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,Urban Redevelopment Authority of Pittsburgh,Downtown Pittsburgh Office-to-Housing Conversion Construction,"$1,000,000.00 ",Lee (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,Westmoreland County,Westmoreland County—Biddle Property Access & Irwin Discharge Elimination,"$1,075,000.00 ",Lee (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,Allegheny County,Allegheny  County  Economic  Development—Mon  Valley  Strategic Blight Removal,"$1,200,000.00 ",Lee (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,Allegheny County,Increasing  Affordable  Housing  Options  for  People  Exiting  Homelessness in Allegheny County,"$3,000,000.00 ",Lee (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,Wind Gap Borough,Male Rd Bridge Replacement & Pedestrian Improvements,"$431,000.00 ",Mackenzie,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Catasauqua Borough,Catasauqua Iron Works Redevelopment,"$3,683,000.00 ",Mackenzie,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Pennsylvania College of Technology,Forest Products Training Center,"$250,000.00 ",Meuser,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Luzerne County,Old Airport Road Improvement Project,"$700,000.00 ",Meuser,
Department of Housing and Urban Development,Economic Development Initiatives,PA,City of Lebanon,Downtown Improvements,"$1,000,000.00 ",Meuser,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Shamokin Coal Township Joint Sewer Authority,Wastewater Treatment Facility Upgrades,"$1,400,000.00 ",Meuser,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Dallas School District,Community Center Improvements,"$3,500,000.00 ",Meuser,
Department of Housing and Urban Development,Economic Development Initiatives,PA,County of Indiana,Windy  Ridge  Business  &  Technology  Park—Phase  3  Roadway Construction,"$1,500,000.00 ",Reschenthaler,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Redevelopment Authority of the County of Fayette,Thompson’s Crossing Business Park,"$7,000,000.00 ",Reschenthaler,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Folcroft Borough,Improvements to Montgomery Park,"$250,000.00 ",Scanlon,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Township of Chester,Chester Township Fire Company Health and Safety Renovations,"$500,000.00 ",Scanlon,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Nether Providence Township,Providence Road Sidewalk Improvement Project,"$500,000.00 ",Scanlon,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Montgomery County,Norristown Public Library Renovation,"$850,000.00 ",Scanlon,
Department of Housing and Urban Development,Economic Development Initiatives,PA,The School District of Philadelphia,Schoolyard Improvements at Penrose Elementary,"$860,400.00 ",Scanlon,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Delaware County District Attorney’s Office,Four Seasons Park Revitalization,"$1,000,000.00 ",Scanlon,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Sharon Hill Borough,Sharon Hill Library and Recreation Center,"$1,200,000.00 ",Scanlon,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Delaware County Community College,Delaware County Community College Workforce Success Center,"$2,000,000.00 ",Scanlon,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Borough of Bellefonte,Bellefonte Waterfront—Dunlop Street Construction,"$1,555,000.00 ",Thompson (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,East Buffalo Township,West Market Street Pedestrian and Traffic Safety Improvements,"$1,800,000.00 ",Thompson (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PA,Borough of State College,Calder Way Transportation Improvements,"$2,449,000.00 ",Thompson (PA),
Department of Housing and Urban Development,Economic Development Initiatives,PR,Municipality of San Sebastian,Small Business Advancement in Next-generation Skills and Entrepreneurship (SANSE) Hub Development and Construction,"$850,000.00 ",Hernandez,
Department of Housing and Urban Development,Economic Development Initiatives,PR,Municipality of Manatı´,Manat´ı Affordable Housing Revitalization,"$850,000.00 ",Hernandez,
Department of Housing and Urban Development,Economic Development Initiatives,PR,Municipality of Barceloneta,Seniors Community and Housing Development and Construction in Barceloneta,"$1,000,000.00 ",Hernandez,
Department of Housing and Urban Development,Economic Development Initiatives,PR,Municipality of Isabela,Facility  Redevelopment  for  Agri-Business  Innovation  Center  of Isabela,"$1,200,000.00 ",Hernandez,
Department of Housing and Urban Development,Economic Development Initiatives,PR,"University of Puerto Rico, Mayaguez",Research Center at UPRM—Phase I,"$2,000,000.00 ",Hernandez,
Department of Housing and Urban Development,Economic Development Initiatives,PR,Municipality of Ponce,YMCA Community Facility Improvements,"$2,000,000.00 ",Hernandez,
Department of Housing and Urban Development,Economic Development Initiatives,RI,Town of Cumberland,Cumberland Public Library Exterior Renovations,"$850,000.00 ",Amo,
Department of Housing and Urban Development,Economic Development Initiatives,RI,Town of Providence,"Conley  Stadium  Infrastructure,  Safety,  and  Accessibility  Improvements","$250,000.00 ",Magaziner,
Department of Housing and Urban Development,Economic Development Initiatives,RI,Town of South Kingstown,Enhancing South Kingstown Town Beach: Resilience and Accessibility Upgrades,"$250,000.00 ",Magaziner,
Department of Housing and Urban Development,Economic Development Initiatives,RI,Town of Burrillville,Burrillville Field House,"$500,000.00 ",Magaziner,
Department of Housing and Urban Development,Economic Development Initiatives,RI,Town of North Kingstown,North Kingstown Community Center Revitalization Project,"$620,000.00 ",Magaziner,
Department of Housing and Urban Development,Economic Development Initiatives,RI,Town of Coventry,Municipal Collection Facility Project,"$750,000.00 ",Magaziner,
Department of Housing and Urban Development,Economic Development Initiatives,RI,Housing Authority of the Town of South Kingstown,Affordable Housing and Community Center Development,"$850,000.00 ",Magaziner,
Department of Housing and Urban Development,Economic Development Initiatives,RI,Town of Johnston,Johnston  Flood  Mitigation  and  Development  of  Woodland  Park Project,"$850,000.00 ",Magaziner,
Department of Housing and Urban Development,Economic Development Initiatives,RI,City of Providence,Igliozzi Resilience Hub,"$1,000,000.00 ",Magaziner,
Department of Housing and Urban Development,Economic Development Initiatives,SC,Clarendon County,Intergenerational Wellness Complex Facilities Upgrades,"$1,000,000.00 ",Clyburn,
Department of Housing and Urban Development,Economic Development Initiatives,SC,Morris College,"Small Business Entrepreneur Incubator Center Acquisition, Development, and Construction","$1,250,000.00 ",Clyburn,
Department of Housing and Urban Development,Economic Development Initiatives,SC,"Bamberg County, SC",Bamberg County Downtown Renaissance,"$1,500,000.00 ",Clyburn,
Department of Housing and Urban Development,Economic Development Initiatives,SC,Town of Summerton,"Blight  Removal,  Capital  Improvements  and  Community  Development","$1,500,000.00 ",Clyburn,
Department of Housing and Urban Development,Economic Development Initiatives,SC,Claflin University,Boulevard Street Economic Renewal,"$3,000,000.00 ",Clyburn,
Department of Housing and Urban Development,Economic Development Initiatives,SC,South Carolina State University,SCSU Military Science Center of Excellence,"$15,000,000.00 ",Clyburn,
Department of Housing and Urban Development,Economic Development Initiatives,SC,State of South Carolina,Office   of   Resilience’s   Crooked   Creek   Channel   Improvements Project,"$1,500,000.00 ",Fry,
Department of Housing and Urban Development,Economic Development Initiatives,SC,State of South Carolina,Office  of  Resilience’s  City  of  Dillon  Stormwater  ImprovementsDargan Street to Washington Street,"$1,500,000.00 ",Fry,
Department of Housing and Urban Development,Economic Development Initiatives,TN,Knox County,Veterans Housing,"$2,000,000.00 ",Burchett,
Department of Housing and Urban Development,Economic Development Initiatives,TN,City of Memphis,Memphis Homeless Veterans Housing Facility Renovation,"$250,000.00 ",Cohen,
Department of Housing and Urban Development,Economic Development Initiatives,TN,Southwest Tennessee Community College,Reimagining  Southwest  Tennessee  Community  College  Facilities Renovations,"$250,000.00 ",Cohen,
Department of Housing and Urban Development,Economic Development Initiatives,TN,City of Memphis,Monroe  Plaza  and  Extended  Pedestrian  Infrastructure  Improvements Project,"$850,000.00 ",Cohen,
Department of Housing and Urban Development,Economic Development Initiatives,TN,Memphis Housing Authority,"Electrical Infrastructure Upgrades at Montgomery Plaza, Memphis, TN","$850,000.00 ",Cohen,
Department of Housing and Urban Development,Economic Development Initiatives,TN,University of Memphis,Park  Avenue  Campus  Water  and  Sewer  Line  Replacement  and Street Improvements,"$850,000.00 ",Cohen,
Department of Housing and Urban Development,Economic Development Initiatives,TN,City of Memphis,Youth and Families Facilities Renovations,"$850,000.00 ",Cohen,
Department of Housing and Urban Development,Economic Development Initiatives,TN,City of Memphis,Covenant Gardens Senior Apartments Construction Project,"$1,000,000.00 ",Cohen,
Department of Housing and Urban Development,Economic Development Initiatives,TN,City of Memphis,Historic Mason Temple Renovation Project,"$1,200,000.00 ",Cohen,
Department of Housing and Urban Development,Economic Development Initiatives,TN,Downtown Memphis Commission,Historic Sterick Building Renovation and Restoration Project,"$1,200,000.00 ",Cohen,
Department of Housing and Urban Development,Economic Development Initiatives,TN,"Shelby County, TN","Historic Clayborn Temple Restoration Project, Memphis TN","$3,150,000.00 ",Cohen,
Department of Housing and Urban Development,Economic Development Initiatives,TN,Middle Tennessee State University,Transportation Infrastructure Project,"$1,500,000.00 ",DesJarlais,
Department of Housing and Urban Development,Economic Development Initiatives,TN,Bledsoe County,Rigsby Elementary School Upgrades,"$1,500,000.00 ",DesJarlais,
Department of Housing and Urban Development,Economic Development Initiatives,TN,City of Chattanooga,James A. Henry Building,"$5,000,000.00 ",Fleischmann,
Department of Housing and Urban Development,Economic Development Initiatives,TN,City of Chattanooga,21st Century Waterfront Revitalization,"$7,000,000.00 ",Fleischmann,
Department of Housing and Urban Development,Economic Development Initiatives,TN,Cocke County,Safety Improvements for Joe Reed Road,"$450,000.00 ",Harshbarger,
Department of Housing and Urban Development,Economic Development Initiatives,TN,Cocke County,Fowlers Grove Road Safety Improvements,"$650,000.00 ",Harshbarger,
Department of Housing and Urban Development,Economic Development Initiatives,TN,University of Memphis,University of Memphis at Jackson Upgrades,"$1,250,000.00 ",Kustoff,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Houston,Houston  Airports’  Enterprise  Shuttle  Boulevard  Extension  Project at Ellington,"$2,200,000.00 ",Babin,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Chambers County,Double Bayou Dredging Project,"$3,000,000.00 ",Babin,
Department of Housing and Urban Development,Economic Development Initiatives,TX,San Jacinto Community College District,Biomanufacturing Workforce & Industry Growth Initiative,"$3,000,000.00 ",Babin,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Clifton,Waterline Loop,"$840,000.00 ",Carter (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,Coryell County,Straws Mill Road Bridge Project,"$3,900,000.00 ",Carter (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,Bell County,Road and Bridge Infrastructure Improvements,"$15,740,000.00 ",Carter (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Temple,Henderson Parkway and Trail Project,"$19,000,000.00 ",Carter (TX),
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Austin,Persimmon Point Housing Development and Construction,"$250,000.00 ",Casar,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of San Antonio,Palacio Del Sol Senior Living Facility Rehabilitation,"$250,000.00 ",Casar,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of San Antonio,Ella Austin Community Center Campus Renovation,"$500,000.00 ",Casar,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Housing Authority of the City of Austin,Santa Rita Courts Childcare Facility Redevelopment,"$850,000.00 ",Casar,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Austin,Esperanza Community Shelter and Facility Development and Construction,"$850,000.00 ",Casar,
Department of Housing and Urban Development,Economic Development Initiatives,TX,"Housing Authority of the City of San Antonio, TX",Morris C. Beldon Apartments Site and Building Improvements,"$850,000.00 ",Casar,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Austin,Sir Swante Palm Park Revitalization,"$850,000.00 ",Casar,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of San Antonio,"Investing  in  Community  Infrastructure  Through  NALCAB’s  New Headquarters in San Antonio’s Historic Market Square—Acquisition, Renovation, and Equipment","$1,000,000.00 ",Casar,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Travis County,The Sasha—Affordable Housing Development and Construction,"$1,000,000.00 ",Casar,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Hays County,Hays County Sportsplex Improvements,"$2,000,000.00 ",Casar,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of San Antonio,VFW Post 76 Renovation,"$2,000,000.00 ",Casar,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Austin,"Onion  Creek  Metropolitan  Park  All  Abilities  Playground  Development, Construction and Equipment","$3,150,000.00 ",Casar,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Balcones Heights,Balcones Heights Senior Center Renovations,"$250,000.00 ",Castro,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of San Antonio Westside Development Corporation,Community Economic Opportunity Initiative,"$250,000.00 ",Castro,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of San Antonio,San Pedro Springs Park Upgrades and Equipment,"$250,000.00 ",Castro,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City Public Service Board of San Antonio,Community Resiliency Initiative,"$850,000.00 ",Castro,
Department of Housing and Urban Development,Economic Development Initiatives,TX,"Housing Authority of the City of San Antonio, Texas",Critical Needs—Multifamily Roof Replacement,"$1,124,400.00 ",Castro,
Department of Housing and Urban Development,Economic Development Initiatives,TX,San Antonio Water System,Laterals to People,"$2,000,000.00 ",Castro,
Department of Housing and Urban Development,Economic Development Initiatives,TX,City of Conroe,Crighton Road Lift Station and Force Main Upgrade Project,"$1,000,000.00 ",Crenshaw,
Department of Housing and Urban Development,Economic Development Initiatives,TX,Montgomery County,Gene  Campbell  Road  Corridor  Drainage  and  Mobility  Improvements,"$2,000,000.00 ",Crenshaw,
Department of Housing and Urban Development,Economic Development Initiatives,TX,"City of Dallas, Texas",City of Dallas Water Commons Eco Park Project,"$500,000.00 ",Crockett,
Department of Housing and Urban Development,Economic Development Initiatives,TX,"City of Dallas, Texas",City of Dallas Fair Park and Facilities Improvements,"$850,000.00 ",Crockett,
Department of Housing and Urban Development,Economic Development Initiatives,TX,"City of Dallas, TX",City of Dallas Santos Rodriguez Recreation Center Project,"$850,000.00 ",Crockett,
Department of Housing and Urban Development,Economic Development Initiatives,TX,"City of Lancaster, Texas",City of Lancaster Roy Crawford Park Walking Trail Project,"$1,000,000.00 ",Crockett,
Department of Housing and Urban Development,Economic Development Initiatives,TX,"City of DeSoto, Texas",Public Safety Complex Development and Construction,"$3,000,000.00 ",Crockett,
